s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
245k	13212.2	12822.1	12704.2	13023.5	9408.13	10940.8	10421.6	10068.3	9777.27	9510.67	9066.3	8759.96	8394.6	8067.2	7755.55	7426.84	7299.59	7197.23	7035.68	7038.73	
244k	11309.6	12769.9	10989.4	12249.4	11538.4	10965.1	10474.9	10104.9	9594.99	9441.91	9121.36	8817.23	8491.73	8094.08	7774.49	7509.86	7371.13	7280.66	7183.2	7113.17	
243k	13193.1	12495.2	11492.1	12220.3	11549.2	11043.1	10581.2	10207.8	9869.91	9634.42	9231.93	8882.42	8494.96	8184.82	7767.23	7469.31	7411.44	7284.3	7160.43	7131.23	
242k	13217.1	11734.8	12712.9	12187.8	11409.7	10961.7	10547.6	10160.6	9892.72	9431.02	9067.13	8807.92	8508.61	8099.35	7783.05	7257.32	7366.23	7290.38	5499.06	6149.86	
241k	13213.7	12720.5	12716.1	12260.9	11573.4	11053.5	10619.8	10227.4	9918.11	9536.88	9176.44	8864.99	8469.64	8130.31	7752.48	7493.56	7389.83	7267.73	7125.93	5323.12	
240k	10943	12822.6	12722.4	12272.8	11575.3	11026.8	10572.2	9906.35	9789.13	9550.09	9224.27	8844.59	8432.06	8141.48	7771.56	7453.92	7344.86	7277.8	7164.38	7113.91	
239k	13137.4	12455.2	13505.3	12955.9	11972.8	11030.8	10519.3	10155.6	9871.42	9635.19	9241.81	8882.02	8528.6	8154.52	7814.07	7519.86	7392.5	6963.31	7215.28	7107.67	
238k	13173.1	12782.6	12748.9	12240.3	10231.1	10027.7	10571.8	10412.3	9950.69	9487.31	9161.24	8824.55	8535.95	8215.35	7940.55	7535.89	7452.54	7343.47	7291.97	7174.06	
237k	13185	12805.3	12744.4	12269.4	11599.7	11100.1	10570.5	10244.7	10024.6	9610.94	9366.24	9004.61	8613.48	8315.26	7950.84	7673.47	7508.1	7386.1	7272.34	7256.57	
236k	11614.6	12518.6	13011.6	12238.9	11725.8	11374	10863.3	10800.5	10021.3	9710.13	9285.06	8684.07	8706.71	8351.48	8047.44	7757.18	7551.45	7446.25	7362.15	7310.18	
235k	13151	12622.2	12555.4	12047.4	11629.1	11130.3	10712.4	10484.6	10087.2	9828.78	9429.07	9154.7	8736.65	8412.95	8122.28	7775.82	7680.25	7509.69	7410.85	7317.22	
234k	13183	12837.2	12780.4	12351.4	11694.4	11123.2	10714.8	10249.7	9959.82	9773.3	9506.08	9176.47	8892.32	8452.69	8073.47	7327.17	7320.02	7503.18	7445.21	7431.49	
233k	12626.3	12838.5	12759.1	12305.4	11645.8	11138.6	11146.3	10833	10547.4	10124.5	9759.81	9404.65	8995.25	8531.49	8172.68	7931.83	7761.65	7585.21	7464.01	7482.37	
232k	12155.9	10536.2	12470.2	12362	11763.1	11234.6	10823.4	10413.3	10189.2	9828.39	9506.31	9270.78	8853.42	8544.14	8214.72	7971.48	7802.69	7722.83	7606.9	7288.64	
231k	13167.8	12833.9	12743.1	12322.9	10249.5	11136.2	10424	10630.5	10298.9	9997.8	9612.79	9328.56	8970.04	8615.66	8250.23	7871.11	7908.92	7667.31	7693.12	7637.22	
230k	12525	12434.2	12678	12422.2	11855.1	11348.7	10974.5	10590.2	10309.6	10062.5	9664.78	9315.11	8984.06	8677.93	8057.91	7626.86	7758.3	7774.86	7752.98	7679.27	
229k	12588.1	12837.1	12809	12325.8	11849.5	11378.7	10961.4	10616.6	10316.1	10026.6	9677.93	9409.19	9237.28	8842.91	8319.23	8098.67	7920.09	7767.3	7726.45	7697.16	
228k	13172.4	12841.9	12785.1	10407	8043.67	10734.3	10242.7	10649.8	10372.3	10103.6	9827.38	9433.76	9047.26	8606.08	8337.44	8106.49	7995.92	7844.63	7846.44	7792.39	
227k	13176.7	12790.2	12796.4	12422.5	11855	11336.6	10912.5	10601	10372.5	9936.22	9761.18	9448.78	8938.12	8101.32	8243.25	7724.54	7712.22	7849.75	7758.65	7750.17	
226k	13220.3	12772.4	12805.9	12415	11850.8	11375.2	10960.3	10713.7	10368.1	10141.9	9784.39	9390.37	9006.78	8692.5	8413.13	8058.48	8034.97	7911.68	7849.05	7795.49	
225k	13223.9	12692.5	12783.3	12179.2	11785.6	11391.9	10969.5	10646	10364.5	10126	9768.3	9375.18	9097.58	8701.79	8379.25	8182.75	7945.59	7940.64	7884.47	7745.79	
224k	13212.8	12841.3	12612.1	12402.4	11847.9	11361.4	11038.8	10674.1	10404.5	10107	9764.92	9432.58	9031.99	8360.8	6416.59	5401.05	6378.29	7638.77	7375.28	7417.08	
223k	13165.4	12841.9	12781	10377.2	11870.6	11384.8	10968	10651.6	10334.3	9895.99	9728.84	9412.93	9031.59	8654.54	8235.42	7924.05	7946.8	7842.97	7819.33	7777.14	
222k	13214.6	12585.6	12765.9	12435.1	11683.9	11411.4	10969.7	10717.8	10435.2	10198.9	9847.89	9447.25	9094.5	8715.7	8414.86	8091.21	7997.7	7903.4	7917.83	7833.87	
221k	13223.8	12843.8	12811.4	12412.1	11862	11290.7	10962	10730.1	10205.6	10149.3	9882.88	9478	9157.57	8795.59	8459.88	8195.14	7966.77	7625.59	7889.93	7946.26	
220k	13221.2	12835.9	12807.9	12452.3	11902.1	11435.7	11075.9	10753.4	8303.75	9061.51	9963.51	9559.62	9191.06	8819.89	8459.61	8136.56	8257.21	8224.35	8104.67	8032.52	
219k	13238.3	12745.1	8601.44	11899.4	11850	11567.9	11173.9	10881.1	10585.5	10341.2	6824.73	9691.84	9326.04	8920.6	8475.34	8243.06	8243.55	8129.31	8186.4	8058.53	
218k	13220	12798.2	12799.2	12454	11960.5	11613.1	11248.7	10867.7	10522.8	10400.6	9990.84	9044.5	8986.19	8304.95	7321.66	8339.91	8313.29	8175.87	8136.65	8022.92	
217k	13220.9	12849.5	12805.7	12445.7	11971.2	11598.3	11133.6	10865	10589.3	10346.3	9997.23	9645.88	9232.63	8853.88	8572.14	8272.38	8201.57	8115.71	5731.66	6456.9	
216k	13204.8	12787.6	12796.2	12286.1	11966.3	11597.1	11165.7	10563.2	10596.5	10275.7	7630.57	9627.18	9208.7	8871.19	8538.82	8233.77	8065.62	8048.63	8143.29	8069.2	
215k	13160.6	12850	12818.8	12446.3	11943.9	12184.1	11146.4	10850.2	10603.4	10322.5	10024.4	9591.58	9264.12	8846.4	8536.51	8223.07	8060.3	7693.42	5958.25	4644.88	
214k	12817.9	12847.5	12826.3	12466.9	11956.9	11528	11144.2	10881.6	10577.4	10243	9936.95	9527.31	9163.16	8812.86	8491.83	8229.68	7805.03	8024.2	8130.19	8006.2	
213k	13227.6	12740.8	12594.5	12262.3	11889.5	11519.8	11136.6	10808.8	10563.1	10302.1	9952.52	9634.06	9256.68	8949.74	8396.57	8143.47	8218.25	8033.76	8072.55	8054.63	
212k	13228.6	12728.9	12803.4	12299.5	11951.4	11538.7	11120.4	10828.2	10550.5	10302.7	9952.39	9583.09	9181.73	8790.35	8447.94	8095.56	7999.62	7814.22	7942.3	7981.82	
211k	12521.6	12836.5	12825.3	12454.7	11954.5	11323.6	11122	10861.2	10498.3	10233.3	9903.7	9542.41	9121.34	8758.9	8329.48	8154.98	8085.43	8070.98	8042.07	8006.37	
210k	13219.6	12852.3	12803.2	12430.9	11933.2	11551.6	11129.1	10663.2	8035.15	8078.32	9590.93	9241.78	8815.1	8704.72	8347.21	8178.17	7996.18	7988.07	7984.9	7986.1	
209k	13234.7	12844.2	12809.1	12449.7	11964.7	11525.3	11094.9	10783.5	10261.9	10212.3	9929.98	9527.22	9140.07	8682.07	8055.99	8001.44	8031.67	8003.37	8035.5	7932.98	
208k	13146.7	12737.7	12801	12448.7	11950.2	11468.6	11102.1	10814.7	10557.5	10272.1	9942.79	9537.55	9121.68	8781.76	8402.27	8044.19	8095.53	8037.72	7983.08	7946.18	
207k	12574.7	12847.6	12804.1	12442.3	11966.9	11545.1	11080.4	10822.1	10552.3	10074.9	9908.57	9561.65	9129.34	8783.43	8371.54	8091.37	7943.12	7954.5	7841.21	4772.93	
206k	13191.5	12861.5	12824.6	12493.7	11985.6	11596.1	11183.3	10836.2	10650.7	10377.6	10059.6	9599.8	9226.97	8817.3	8642.58	8222.42	8217.76	8194.76	8194.33	8081.74	
205k	13234.3	12838.8	12708.8	12300.9	8951.85	9990.18	10671.7	10745.9	10657.6	10441.4	10144.2	9802.64	9555.57	9213.47	8877.75	8425.27	8416.95	8210.83	8351.22	8209.24	
204k	13217.6	12858.1	12843.2	12487.3	11674.8	11626.3	11285.2	11056.2	10812.5	10500.4	10280.1	9895.63	9498.14	9199.25	8866.9	8385.36	8391.61	8250.74	8253.38	8088.85	
203k	13163.9	12871.1	12854.7	12521	12061.8	11695.4	11310.5	11097.7	10829.9	10217.5	10199.4	9947.4	9461.76	9104.96	8849.86	8495.28	8513.79	8335.86	8341.72	8195.73	
202k	13230.8	12864.9	12865.6	12537	12073.6	11663.6	11342.2	10904	10733.9	10578.1	10305.3	9916.12	9455.3	9041.84	8631.72	8570.33	8286.34	8086.33	5977.25	6629.4	
201k	13227.8	12872.3	12847.7	12524.4	12074.2	11700.3	11331.5	11077.1	10849.1	10548.1	10280.7	9900.72	9475.02	9125.39	8638.14	8390.19	8345.63	8368.71	8302.8	8269.32	
200k	13202.6	12861.8	12877.1	12520.2	10194.8	8240.23	10847.3	10353.8	10702.4	10656.5	10236.6	9873.3	9490.67	9109.82	8726.75	8414.19	8314.7	8322.73	8327.54	8271.27	
199k	13217.8	12862.9	12733.9	12514.6	12023.5	11673.2	11134.3	11054.1	10819.7	10650	10289.2	9860.41	9515.34	9209.93	8867.73	8544.1	8396.38	8414.73	8195.66	8229.4	
198k	13135.9	12865.4	12848.3	12524.2	12031.4	11670.9	11084.2	11092.3	10836.5	10628.9	10280.2	9899.81	9541.17	9133.45	8773.43	8382.73	8456.36	8290.4	8367.31	8227.42	
197k	13239.6	12865.9	12819.4	12517.2	12083.7	11708.2	11304.2	11047.1	10807.1	10561.6	10105.9	9498.25	9342.19	9092.92	8217.94	8397.94	8414.89	8281.12	8170.69	8062.48	
196k	13176.7	12866.6	12861	12540.5	12074.9	11661.6	11311.7	11058.8	10808.8	10565	10179	9863.07	9457.82	9050.28	8732.31	8271.02	8472.92	8303.67	8275.62	8086.61	
195k	13195.2	12835.3	12848.2	12507.7	12035.9	11635.7	11279.3	11547.9	8887.77	8411.05	9015.69	9181.3	8954.28	8418.13	8221.55	8385.97	8394.92	8225.93	8298.98	8215.12	
194k	13215.8	12734	12850.9	12507.4	12009.3	11622.9	11297.6	10989.7	10822.5	10501.9	10220.3	9864.38	9399.76	8925.47	8205.39	8521.74	8327.39	8226	8172.95	8167.76	
193k	13211	12760.8	13521.9	13416.9	12017.1	11633	10929.9	11036.1	10761.4	10547.9	10175.8	9787.01	9424.91	9011.29	8700.96	8302.53	8266.14	8209.09	8303.26	8140.68	
192k	13227.9	12857.7	12855.8	12507.8	12031	11642.7	11291.8	11011.3	10783.2	10542	10204	9818.89	9374.19	9124.87	8699.14	8052.64	8149.3	8155.62	8214.25	8234.9	
191k	13200.3	12792.4	12846.9	12504.9	12024.8	11626.1	11322.5	11057.4	10758	10555.3	10199.2	9823.75	9435.29	9026.06	8556.91	8313.72	8302.9	8264.87	8233.48	8027.42	
190k	13141.5	12867.6	12850	12486.5	11997.8	11672.8	11281.4	11052.4	10807.7	10557	10213.3	9802.42	9381.07	9016.88	8617.14	8520.78	8334.55	8180.69	8146.12	7846.93	
189k	12373.1	12839.1	12853.7	10086.5	12021.6	11634.9	11272.8	10981.4	10758.6	10497.9	10147.9	9777.75	9271.81	9006.22	8514.6	8350.82	8253.94	8166.61	8035.91	8068.58	
188k	13199.1	12852.1	12861	12502.3	11943.4	11572.7	11238	10593.6	10433	7430.35	10145.3	9743.92	9341.05	8949.26	8772.15	8371.02	8091.23	8224.01	8090.45	8041.61	
187k	13218.3	12830.3	12851	13451.8	11982.1	11605.3	11299.1	11013.6	10736.3	10514.5	10166.2	9777.45	9344.98	8971	8595.03	8319.78	8324.59	8142.37	8052.99	8068.29	
186k	12470.5	12858.5	12728.5	12493	12005.4	11614.7	11223.3	10768	10719.7	10481.8	10112	9728.59	9330.18	8978.71	8180	8131.93	8237.5	8189.25	8074.23	7924.74	
185k	13220.5	12723.6	12821.5	12489.5	11990.8	11602.8	11186	10932	10710.9	10498.7	10236.8	9778.37	9542.89	8955.95	8692.03	8393.95	8357.84	8199.84	8140.9	8105.01	
184k	13214	12865	9629.42	10181.3	11278.4	11330	11274.2	10931.9	10744.2	10482.5	10216.3	9859.71	9458.82	9067.27	8665.03	8277.34	8378.69	8286.62	8166.43	8067.56	
183k	13219.3	12834.6	12846.4	12497.9	11985.5	11559.9	11181.9	10847	10658.5	10449.5	10427.9	10069.1	9340.45	8985.51	8638.41	8350.33	8329.43	7674.05	7898.7	7923.58	
182k	13143.8	12832.5	12851	12485.3	11996.9	11594.5	11189.6	10953.8	10663.2	10432.6	10093.2	9778.73	9242.12	9130.82	8661.34	8379.13	8364.75	8255.85	8213.99	8106.13	
181k	13153.5	12771.2	12837	12489.1	11989.3	11586	11190.8	10950	10652.1	10456.8	10085.6	9633.62	9418.27	8986	8310.35	7933.49	8212.55	8140.03	8114.67	8027.96	
180k	13171.2	12859.9	12825.9	12475.6	11962.8	12369.2	11597.5	10929.5	10742.5	10409.1	10102.9	9749.78	9361.75	9104.55	8565.45	8537	8177.09	8261.13	8080.67	8050.03	
179k	13225.8	12855.6	12825.9	12471.7	11932.6	11594.6	11184.7	10872.5	10681.1	10429.8	10092.9	9696.18	9318.82	9088.13	8701.88	8467.86	8279.83	8062.8	5891.73	4474.48	
178k	12397.1	12862.4	12842.4	12476.3	11951.3	11535.4	11163.4	10891.8	10666.4	10414.8	10137.5	9695.4	9409.4	8949.73	8666.16	8301.51	8284.01	8247.94	7988.97	7922.69	
177k	13210.3	12703.3	12844	12471.1	11918.3	11579.2	11025.9	10906.9	10633.1	9933.35	9816.15	9693.61	8818.13	8694.89	8635.65	8291.13	8301.8	8223.62	8024.33	8030.41	
176k	13208.9	12855.8	12829.3	12468.5	11948.2	11587.2	11253.8	10880	10379.3	10361	10125.1	9677.17	9310.53	9116.08	8626.53	8349.77	8273.24	8107.01	8180.11	8145.02	
175k	13217.4	12848.4	12824.9	12447.7	11925	11310.6	11195.3	10943.7	10726.9	10448.4	10036.7	9760.77	9335.09	8806.57	8203.43	7897.33	8469.25	8178.07	8087.64	8033.28	
174k	13177.4	12849	12845.6	12531	12022	11599.3	11231.3	11020.1	10677	10365.5	10160.2	9775.24	9482.07	9057.39	8745.53	8272.67	8535.45	8200.36	8218.66	8135.61	
173k	13219.3	12855.5	12836.2	12509.7	11782.7	11637.8	11369.7	10988.1	8636.23	7966.67	9306.09	9248.79	9112.37	8516.52	8165.66	8000.46	8478.71	8319.95	8375.56	8302.4	
172k	13208.3	12819.5	12850.3	12538.7	12100.6	11742.4	11385	11135.6	10920.6	10650.7	10336.6	9945.25	9504.43	9362.49	9035.43	8807.81	7767.63	8058.11	8497.9	8421.15	
171k	13205.7	12864.5	12856.4	12435.4	12198.6	11372.1	11405.3	11001.5	10984.5	10785.6	10559.8	10127.8	9723.08	9458.38	8979.92	8637.73	8627.62	8580.75	8614.05	8496.37	
170k	13213.8	12745.8	12844.6	12573.8	12203.7	12565.1	12255	12037.9	11623.9	11307.4	10788.6	10121.4	9622.02	9380.04	8887.14	8745	8554.58	8597.82	8594.26	8562.21	
169k	13219.3	12863	12818.5	12576	12011.9	11780.7	11497.9	11382.1	11082	10866.8	10447	9985.32	9414.43	8553.61	8388.47	8531.85	8545.59	8548.67	8566.27	8611.35	
168k	13218.5	12853.1	12856.7	12589.2	12203	11811.8	11546.4	11354.1	11021.2	10838.4	10489.8	10036.7	9642.65	9261.94	9022.53	8640.31	8599.47	8541.73	8673.24	8469.05	
167k	13220.1	12792.9	12863.7	12577.7	12207.4	11900.9	11553	11260	10994.7	10743.2	7499.49	7443.66	8586.16	6458.06	6616.21	7985.54	7904.04	8314.95	8210.48	8580.2	
166k	13199.7	12870	12894.1	12628.3	12223.9	11819.2	11514.2	11263.7	10970.2	10784.6	10108.1	10237.3	10130.8	9627.16	9300.42	8927.73	8801.01	8698.1	8868.14	8760.05	
165k	13216.1	12814.2	12875.9	12627.9	12266.2	11724.5	11707.8	11476.8	11073.6	10173.3	10564.1	10344	9473.68	9205.61	9340.43	9060.8	8932.39	8862.58	8824.58	8994.7	
164k	13217.3	12768.9	12893.6	12623	12303.2	11986.1	11710.7	11577.1	11325.2	11106.6	10868.4	10571.9	10197.8	9895.56	9586.4	9280.78	9169.56	9078.08	9054.21	8821.92	
163k	13225.6	12884.2	12923.9	12709.4	12389.9	12035.1	11756.9	11567.7	11386.9	10975.4	10522	10455.7	9462.01	10043.6	9644.79	9369.33	9225.54	9067.08	9158.4	9097.55	
162k	13188.5	12876.6	12925.7	12656.9	12370.2	12064.2	12709.8	11550.8	11318.3	11107.5	11026.8	10643.5	10292	10015.7	9693.39	9482.87	9368.64	9260.64	9141.74	8960.67	
161k	13216.3	12880	10672.6	12673.9	12333.7	11990.6	11726.5	11515.9	11360.7	11273.7	10910.7	10576.5	10226.8	9918.97	9594.23	9297.12	9198.62	9094.07	9043.63	9065.02	
160k	12614.8	12634.4	12842.8	12653.8	12352.6	12034.6	11781.4	11511.3	11310.2	11049.5	10758.1	10451.7	10076.9	9774.15	9444.5	9191.61	9098.38	8404.74	8820.94	9058.54	
159k	13212.6	12882.4	12926.8	12723.5	12436.5	12129.3	12796.8	12414.4	11402.7	11863.5	11434.3	10521.4	9651.66	9749.98	9388.95	9080.53	8947.12	8903.44	8993.49	9181.35	
158k	13181.9	12800.1	12925.8	12716.9	9137.37	12010.4	11726.3	11517.9	11299	11090.8	10771.3	10428.5	10108.8	9841.93	9513.31	9216.02	9103.52	9033.53	8952.79	9019.24	
157k	13223.3	12878.7	12917	13828.4	13464.4	13045.9	12651.1	12488.5	12241	11846.4	11388.8	10485.4	10161.4	9851.24	9460.96	9148.02	9066.68	8937.79	9143.86	9006.97	
156k	13150.4	12822.9	13994.1	12643.3	12327.4	12021.9	11741.3	11483.3	11232.4	10880	10906.2	10623.6	10227.7	9972.9	9662.81	9365.85	9153.26	9036.29	9113.48	9020.37	
155k	13220.3	12873.1	12925	12665.8	12314.8	11985.1	11640.2	11510.4	11381.5	11184.4	10440.5	10686.6	10166.2	9766.37	9389.14	9115.3	9019.94	8887.21	8876.73	9204.15	
154k	13217.9	12886.9	12926.8	12657.7	12333.9	12066.8	11834.2	11637.2	11369.6	11224	10872	10549.1	9935.94	9256.92	8534.25	8221.97	8364.14	5909.73	6263.21	8612.63	
153k	13137.7	12872.1	10538.8	12671.4	12357.5	12078.4	11726.4	11528.1	11312.7	11155.3	10848.9	10556.8	10059.4	9809.25	9497.65	9193.33	9128.19	9050.07	9058.65	9017.34	
152k	13209.7	12876.8	12916.8	12696.4	13322.3	11749.6	11756.2	11592.8	11322.4	11192.3	10877	10785	10184.1	9046.74	9568.25	9232.05	9110.9	8995.86	8971.24	8380	
151k	12366.7	12870.9	12890.5	12694.4	12393.3	12100.3	11801.9	11535.7	11299.5	11040.5	10746	10500.5	10144.3	9828.07	9496.96	9251.03	9106.47	9045.72	8990.68	8967.64	
150k	13221.5	12882.4	12624.6	12008	12163.3	12120.2	11872.6	8417.95	9462.19	11650.5	10960.3	10552.3	10172.4	9795.89	9340.17	9062.76	8940.06	8970.59	8831.88	8787.99	
149k	13154.3	12869.7	12905.2	12631.6	11948.6	11963	11713.7	11513.6	11327.2	11140.4	10361.3	10692.7	10234.4	9917.91	9609.43	9361.32	4937.56	5089.65	9021.05	8953.26	
148k	13220.5	11230.4	12914.1	12582.3	12313.4	11997.8	11715.7	11523.8	11278.8	11061.7	10693.6	10366.4	10006.4	9688.01	9336.65	9087.42	8950.16	8893.75	9027.12	9137.72	
147k	13211.3	12870.2	12911.1	12673.9	12347.9	11988.9	11631.6	11129.4	10778.8	10432.2	10159	9726.9	5553.26	8702.97	8730.95	8248.15	8486.37	8017.41	8369.08	4637.95	
146k	12285.1	12868.1	12901.3	12685.8	12358	13037.4	12564.6	11470.5	11374.7	11146.4	10940.4	10427.2	9969.66	9608.57	9246.96	8986.69	8957.75	8913.81	8851.39	8795.98	
145k	13242.3	12872.2	12893.6	12641.3	12046	12015.4	11772.1	7276.15	11184.7	10849.2	10705.9	10354.1	9930.96	9499.79	8799.47	7934.47	8407.29	8592.2	8824.79	8389.65	
144k	13193.7	12874.7	12915	12680.3	12402.3	12033.4	11698	11465.1	11241.5	10968.9	10612.6	10285.1	9865.35	9546.08	9183.48	8893.35	8780.83	8703.97	8663.42	8590.67	
143k	13139.1	12868.3	12736.6	12658.4	12328.9	12004.4	11671.6	11444	11161.4	10937.9	10614.6	10355.9	10052.1	9750.89	9449.96	9216.14	9050.5	8998.5	8958.8	8898.1	
142k	13171.6	12851.4	12800.3	13571	13255.9	12816.8	12406.1	12303.2	11965.6	11375	10670.7	10187	9641.41	9250.91	8891.19	8480.93	8367.41	8269.86	8610.29	8529.26	
141k	13157.1	12881.6	12926.5	12663.6	12216.8	11906.9	11616.2	11450.5	11270.7	11002.4	10662.8	10206.1	9727.26	9329.65	8978.88	8616.44	8463.72	8410.93	8342.48	8339.49	
140k	13214.4	12874.1	12906.3	12636.7	12283.8	11960.4	11627.9	11404.4	11152.3	10953.5	10569.5	10151.1	9761	9427.88	9204.29	8360.08	7541.77	5563.16	6154.06	8135.65	
139k	13042.2	12740.3	12904.1	12651.5	11051.1	8589.01	7709.49	9547.22	11239.6	11032.8	10625.9	10224.6	9784.26	9434.1	9022.19	8711.83	8568.74	8621.93	8635.16	8571.43	
138k	13185.9	12870.6	12907.8	12665.9	12302.5	11965.2	11026	6989.06	11260.5	11127.6	10812.6	10433.6	9966.08	8842.8	8582.05	8410.47	8301.04	8283.74	8217.86	8310.79	
137k	13138.3	12738.4	13963.4	13666.4	13310.3	12921	11604.4	11380.2	11124.7	10871.6	10434.3	10007	9546.35	9093.38	8664.07	8355.25	8247.38	8210.24	8176.44	8107.92	
136k	13207.9	12876.6	12712	12603.4	12231.7	11953	11607.7	11323.9	11075.4	10848.3	10510.2	10178.2	9778.18	9449.75	9103.03	8846.79	8664.75	8593.84	8597.87	8552.37	
135k	13203.2	12872.4	13873.5	12641.4	12341.5	11928.8	11322.7	11420.3	11345.2	11065.6	10563.2	9986.65	9399.42	9068.37	8650.6	8250.42	8188.98	8127.16	8230.76	8238.97	
134k	13184.4	11061.7	12884	12600.9	12267.4	11940.3	11602.4	11387.4	11090.1	10771	10511.3	10234.7	9896.49	9641.53	9305.95	9059.79	8887.98	8810.27	8794.3	8738.85	
133k	13203.4	12874.2	11554.1	11299.7	12230.7	12857.6	12607.6	11515.2	11257.8	10993.5	10648.7	10344.7	9948.53	9557.49	9190.57	8887.59	8728.1	8681.78	8622.64	8621.82	
132k	11405.5	12866.4	12640.2	12404.8	11957.2	11769.5	11509.8	11145.7	11045.6	10628.5	10456.1	9717.72	9060.57	9063.94	8420.55	8209.27	8292.66	8202.43	8259.42	8282.07	
131k	13191.9	12874.1	12888.1	12614.5	12225.9	11858.7	11588.7	11421.3	11798	11355.9	10823.1	10085	9661.05	9281.58	8849.43	8550.57	8385.59	8350.89	7810.77	4428.7	
130k	12823.5	12863.5	12876.3	12594.3	12904.2	12893.1	12534.1	12299.1	11659.3	11210.3	10772.7	10120.1	9627.5	9126.69	8436.16	8131.99	7744.04	8177.23	8133.08	8117.67	
129k	13181.9	12885.3	12896.5	12647.2	12285.8	11952.2	11738.7	11374.1	11090.4	10886.5	10525.2	10274	9967.24	9703.8	5664.41	6663.87	8763.22	8604.8	8624.67	8523.05	
128k	13200.1	12874.3	12885	12655.8	12297.5	11893.2	11599	11372.9	11173.4	10997.7	10552.5	10182.4	9779.42	9494.93	9129.85	8757.56	8654.36	8596.83	8563.84	8544.35	
127k	13233.2	12852.3	12745.7	13520	12247.3	11913.5	11662	11429.4	11167.7	10838.5	10419	9508.31	9241.84	6975.61	8508.7	7843.74	8217.13	8157.92	8214.51	8320.75	
126k	13202.7	12860.6	12892.8	13709.2	13290.2	12815.1	12465.8	11362.5	11097	10796.7	10430.6	10020.9	9583.78	9288.64	8924.24	8593.17	8469.3	8390.69	8332.92	8323.87	
125k	13199.1	12826.4	12819.8	12554.9	12204.9	11943.9	11683.7	11517.8	11253.7	10953.3	7001.96	8124.5	10334.2	10103.7	9490.18	9287.21	9074.58	8976.5	8918.78	8886.67	
124k	13195	12864	12731.2	11968.8	11912.8	11770.5	11659.1	11050	11151.2	10737.2	9696.09	9657.19	9095.23	8644.88	8171.64	7858.83	7799.06	7855.23	7759.3	8081.48	
123k	13227.4	12857.5	12887.9	12620.5	12212.6	11876	11442.9	11198.7	10948.2	6820.5	8423.08	10337.4	9989.48	9686.45	9380.38	9153.28	8999.25	8874.94	8881.53	8851.81	
122k	13236.9	12860.3	12888	12658.4	12192.2	11822.1	11573	11354.8	11760.9	10997.1	10276	9908.06	9284.78	8869.6	8509.07	7913.41	7982.27	8030.73	7950.23	7917.55	
121k	13167.9	12823.3	12836.6	12585.6	12286.3	12043.3	11817.6	11624.5	11386.2	11192.4	10203.1	10583.7	10089.6	9707.78	9355.32	9030.27	8940.58	8896.9	8889.53	8930.89	
120k	13201.9	12879.5	12912.5	12703.9	12421.7	12164.3	11869.6	11671.2	11432.9	11281.1	10985.7	10666.9	10214.8	9896.27	9592.51	9323.33	9238.24	9230.06	9271.95	9298.95	
119k	13213.5	12886	12931.1	13877.2	13634.4	12333	12049.1	11799.5	11715.2	11529	11093.9	10671.6	10186.3	9348.48	8681.02	4046.11	9700.91	9753.6	9828.35	9906.66	
118k	13205	12748.1	12929.8	12740.4	12491.3	12274.8	12078.4	11899.3	11697.7	11463.5	11032.5	10555.8	10056	9593.58	9116.12	8716.73	8765.2	8704.45	8789.46	8789.21	
117k	13212.4	12896.4	12927.1	12708	12490.1	12323.3	12044.3	11861.2	11656.1	11943	11085.7	10669.2	10201.5	9774.51	9350.27	8925.12	9021.89	8917.23	9014.61	9030.6	
116k	12057.2	12887.3	12920	12755.2	12521.7	12279.3	12050	11881.4	11726.1	11555.1	11151.7	10735.8	10349.3	9953.31	9600.14	9306.52	9356.42	9322.2	9314	9373.72	
115k	13083.5	12800.3	12769.3	12352.9	12089.2	11957.6	11846.8	11779.2	11674.8	11413.7	11029.5	10490.3	9912.89	9475.26	8952.6	8504.93	8572.17	8559.02	8585.24	8671.83	
114k	11977.4	12889.5	12944.7	12734.3	12527.9	12292.1	12036.4	11838.8	11656.3	11432	11060.2	10620.8	10225	10006.2	9420.17	9074.63	9122.56	9087.21	9090.64	9182.45	
113k	13205.3	12887	12920.9	12719.5	12503.2	13211.1	12986.7	12691.1	12228.7	11541	11073.1	10292.5	9502.05	9326.13	8866.06	8467.59	8497.52	8500.62	8530.37	8508.1	
112k	13118.9	12872.8	12629.8	12732.6	12532.4	12302.2	12055	11840.1	11616.4	11412.8	11059.5	10728.1	10304.6	9914.79	9616.35	9291.96	9327.21	9288.53	9370.92	9352.17	
111k	13204.8	12888.4	12932.2	12720.1	12501.5	12340.7	13183.4	12873.1	12511.9	12065.6	11146	10792.6	10447.9	10098.5	9758.64	9461.4	9473.48	9481.9	9460.1	9574.75	
110k	13199.6	12890.9	12918.3	12720.1	13517.5	13225.3	12057.2	11839.5	10940.8	11509.1	11131.6	10709.7	10111.1	9687.87	9112.42	8723.24	8781.35	8716.43	8765.34	8851.17	
109k	13139.4	12886.6	12906.8	12672.2	12348	11889.9	12084.1	11916.4	11657.9	11380.9	10832.3	10242.5	9632	9087.8	8586.43	8120.88	8205.02	8181.58	8251.39	8359.3	
