s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
453k	13126.2	12536.8	11099.3	10827.2	9860.18	8767.36	8029.09	7576.08	7379.59	7062.86	6727.72	6362.27	5477.5	5319.1	5281.68	4982.16	4827.06	4726.17	4647.79	4554.88	
452k	13132.5	11957.2	11905	10813.9	9713.84	8959.76	8214.38	7742	7255.34	7044.34	6695.47	6355.98	5985.23	5618.78	5296.89	5006.3	4878.63	4767.26	4669.62	4601.69	
451k	12568.3	11936.2	11914.2	10839.2	9861.31	7973.57	8058.92	7606.76	7397.83	7082.76	6688.35	6339.05	5934.91	5588.48	5308.39	5013.93	4840.61	4776.05	4682.98	4597.51	
450k	13181.8	13126.2	11837.1	10857.4	10078.8	8847.72	8124.47	7641.87	7424.77	7088.66	6731.39	6328.43	5937.75	5634.34	5295.24	5014.47	4891.96	4767.9	4687.16	4615.75	
449k	13189.5	11955.3	11898.4	10821.3	9695.78	8950.81	8130.91	7714.28	7319.14	7075.56	6746.2	6372.48	6004.4	5637.15	5316.57	5019.44	4898.43	4786.45	4693.85	4631.43	
448k	13087.1	12535.8	11917.9	10857.8	9914.29	8773.75	8107.78	7733.47	7442.32	7096.3	6760.43	6363.76	6018.99	5649.42	5321.02	5018.9	4916	4804.56	4033.07	4644.68	
447k	13142.4	12056.8	11893.8	9980.81	9752.86	9031.95	8253.96	7810.8	7495.67	7118.62	6775.56	6393.09	6024.48	4896.86	5323.29	4975.04	4905.82	4811.8	4725.83	4641.81	
446k	13129.3	12501.9	11927	10876.5	9917.22	8836.12	8137.92	7680.65	7441.76	7064.24	6764.05	6403.88	6030.6	5660.11	5322.06	5039.6	4927.33	4829.47	4731.12	4642.47	
445k	12318.5	12533.6	11919.1	10874.2	9904.06	8863.81	7276.12	7660.84	7427.34	7104.79	6771.91	6405.27	6022.83	5663.93	5331.29	5028.36	4923.8	4820.97	4731.98	4614.76	
444k	13180.8	13138.6	11954.1	11110.9	9822.33	9062.4	8298.56	7832.76	7521.96	7142.57	6799.32	6405.76	6031.85	5671.89	5337.17	4974.76	4918.18	4776.1	4706.12	4655.6	
443k	13111.3	12545.5	11098.3	10891.5	9934.39	8854.21	8179.39	7730.29	7486.3	7132.21	6795.65	6333.82	6025.04	5664.96	5336.23	5037.22	4930.34	4820.43	4716.87	4655.51	
442k	13018.1	12562.8	11913.3	10884.8	9956.66	8869.7	8159.89	7716.19	6550.11	7135.02	6809.64	6427.77	5990.32	5654.73	5320.48	4979.25	4906.85	4826.33	4739.33	4662.77	
441k	12845.5	12542.9	11902.8	10871.6	9938.88	8816.01	8201.12	7701.5	7474.05	7151.77	6805.12	6421.8	6049.51	5689.21	5348.5	5047.32	4933.25	4813.51	4689.29	4676.25	
440k	12594.4	12535	11931	10084.8	9808.04	9046.54	8327.23	7834.17	7528.8	7135.12	6745.9	6361.85	6058.75	5693.07	5300.67	5064.51	4949.76	4846.91	4756.3	4682.45	
439k	13131.8	11959.9	11933.8	10943.2	10012	8917.71	8214.25	7766.9	7507.66	7185.42	6764.06	6442.89	6045.94	5696.09	5364.06	5053.18	4965.32	4858.55	4764.58	4694.37	
438k	12806.8	12515.6	11930.3	10888.5	9782.29	9057.86	8250.43	7683.71	7518.94	7167.72	6820.01	6451.52	6066.53	5697.66	5363.06	5055.33	4954.76	4853.22	4769.34	4703.27	
437k	13108.1	12556.6	11954.4	10899.6	9850.08	9010.85	8184.73	7747.35	7499.06	7188.06	6833.46	6444.73	6067.67	5698.48	5366.43	5076.45	4960.05	4848.31	4096.78	4701.51	
436k	13131.8	12557.3	11877.9	10831	9737.04	9077.84	8359.85	7875.06	7531.39	7161.99	6826.76	6443.34	6065.05	5694.95	5313.94	5065.81	4944.29	4845.3	4765.44	4703.22	
435k	13129.9	12543.3	11852.9	10924.5	9990.78	8944.47	8241.4	7786.58	7503.17	7188.57	6862.32	5881.74	5750.63	5705.18	5349.51	5064.49	4969.52	4858.71	4778.48	4726.03	
434k	13142.1	11777.3	11883.7	10893.4	9833.28	9098.31	8356.94	7888.24	6633.29	7179.55	6838.17	6443.56	6043.13	5679.3	5388.63	5089.27	4985.18	4883.46	4785.66	4731.67	
433k	12794	12553.2	11947.2	10910.3	9479.7	8617.96	8125.58	7759.44	7524.84	7195.95	6836.43	6461.02	6078.1	5720.65	5378.12	5082.81	4979.48	4881.18	4786.66	4113.31	
432k	13106.6	12522.4	12261.4	10944.2	8946.88	9118.84	8381.12	7891.29	7524.94	7186.98	6848.14	6474.02	6097.55	5731.4	5401.32	5087.22	4928.91	4902.16	4810.75	4772.24	
431k	13146	12546.7	10583.2	10943.1	9875.03	9151	8390.98	7923.82	7576.01	7235.2	6871.12	6483.06	6104.09	4892.95	5416.7	5114.42	5000.62	4915.56	4805.05	4744	
430k	13103.7	11928.3	11961.1	10984.4	10068.6	8984.77	8299.75	7798	7563.7	7228.01	6799.42	6493.72	6116.48	5749.14	5416.23	5105.39	5002.24	4917.74	4828.56	4778.67	
429k	12861	12538.1	11953.5	10182.8	9900.68	9132.66	8420.69	7952.13	6494.27	7223.45	6849.36	6478.08	6109.79	5751.61	5042.53	3732.38	4379.28	4913.09	4830.03	4781.41	
428k	13100.8	12562.3	11955.8	10961.8	10028.9	8929.4	8267.97	7808.97	7539.64	7216.53	6885.53	6487.89	6118.62	5622.65	5409.36	5106.18	5009.87	4918.99	4833.84	4718.22	
427k	13129.1	12553.8	11946	10993	9099.53	8956.94	8282.94	7820.62	7567.99	7219.88	6875.82	5888.22	5059.02	5681.31	5411.87	5106.59	4199.24	4930.62	4836.96	4793.25	
426k	13146.8	12562.8	11217	10936.7	9901.96	9155.2	8446.49	7960.01	7642.95	7293.84	6901.16	6517.83	6114.78	4956.4	5411.16	5123.93	5015.85	4924.73	4832.11	4779.15	
425k	13137.3	11929	11957.8	10985	10076.8	8992.95	8305.41	7818.23	7564.5	6422.55	6787.64	5788.98	6136.94	5764.34	5419.75	5120.46	4987.1	4937.25	4845.24	4806.16	
424k	13129.6	12522	11974.9	10983.5	10086.6	9023.01	8334.43	7851.92	7522.99	7239.16	6930.23	6530.65	6144.1	5773.03	5446.75	5139.12	5052.71	4960.08	4875.61	4800.64	
